Site,Park,Treat,YEAR,TRTYR,Depth,ConDis,MeadDis,CattDis
LPT05,1,4,2016,416,31,0.611400302,1.408475245,1.944945435
LPT06,1,4,2016,416,30,0.144655953,1.734412699,1.826922204
LPT07,1,4,2016,416,22,0.30350384,1.604648081,1.894580901
LPT08,1,4,2016,416,21,0.21263129,1.654320997,1.90127821
LPT09,1,4,2016,416,24,0.153101334,1.735244203,1.831995556
LPT10,1,4,2016,416,22,0.145990301,1.735737026,1.82863551
LPT11,1,4,2016,416,28,0.21263129,1.654320997,1.90127821
LPT12,1,4,2016,416,18,0.1082333,1.604454231,1.765274839
LPT13,1,4,2016,416,13,0.334844661,1.582467093,1.935693886
LPT14,1,4,2016,416,22,0.090217931,1.692466137,1.811615863
LPT15,1,4,2016,416,17,0.073904998,1.65732212,1.760138646
LPT16,1,4,2016,416,19,0.09555296,1.625100039,1.780641129
LPT17,1,4,2016,416,42,0.190862138,1.492659411,1.723023034
LPT18,1,4,2016,416,21,0.070009796,1.586801124,1.695088288
LPT19,1,4,2016,416,18,0.046356681,1.643483998,1.753776191
LPT20,1,4,2016,416,24,0.105298012,1.559825581,1.708247819
LPT41,1,4,2016,416,13,0.146196392,1.735569821,1.828736284
LPT42,1,4,2016,416,24,0.144655953,1.734412699,1.826922204
LPT43,1,4,2016,416,25,0.373949584,1.413357469,1.785962288
LPT44,1,4,2016,416,33,0.145324489,1.70457902,1.855250005
RPC16,2,4,2016,416,41,0.584060158,1.224392163,1.782783054
RPT21,2,4,2016,416,33,0.196195541,1.805842282,1.884664887
RPT22,2,4,2016,416,18,0.027488267,1.617226692,1.74447926
RPT23,2,4,2016,416,31,0.145934568,1.736024994,1.828799947
RPT24,2,4,2016,416,26,0.089525951,1.692383161,1.809278857
RPT25,2,4,2016,416,21,0.092611612,1.611271762,1.776443598
RPT26,2,4,2016,416,47,0.622687762,1.489753762,2.005846359
RPT27,2,4,2016,416,44,0.390522562,1.244101926,1.497049176
RPT28,2,4,2016,416,16,0.091666121,1.656436885,1.74707093
RPT29,2,4,2016,416,32,0.367651086,1.716593455,1.962720524
RPT30,2,4,2016,416,22,0.166746429,1.748657291,1.844048249
RPT31,2,4,2016,416,20,0.108853494,1.692228878,1.719768709
RPT32,2,4,2016,416,17,0.309873146,1.520636977,1.868007331
RPT33,2,4,2016,416,31,0.443353601,1.256219533,1.645916027
