SiteID,Location,Treatment,Year,Date,Depth,CanopyH,Light,Flowers,LiveStem,TotalStem,TotalCover,Simpson,Shannon,Pielou,Rich
LPC21,Long Point,Control,one,2016,21,327,1.66,14,42,174,90,0.89,0.23,0.21,3
LPC22,Long Point,Control,one,2016,36,433,1.55,4,28,65,90,0.71,0.47,0.43,3
LPC23,Long Point,Control,one,2016,24,336,1.5,1,36,190,85.15,1,0.01,0.01,2
LPC24,Long Point,Control,one,2016,13,334,1.24,11,52,193,80.05,1,0,,1
LPC25,Long Point,Control,one,2016,10,327,1.69,12,16,25,80,0.48,1.05,0.59,6
LPC26,Long Point,Control,one,2016,14,353,1.69,3,19,63,90.05,0.5,0.87,0.63,4
LPC27,Long Point,Control,one,2016,17,383,4.01,2,15,29,80,0.53,0.66,0.95,2
LPC28,Long Point,Control,one,2016,23,450,1.7,1,26,74,85.05,1,0,,1
LPC29,Long Point,Control,one,2016,29,526,0.36,7,35,123,90.05,1,0,,1
LPC30,Long Point,Control,one,2016,26,364,0.58,16,39,55,90.1,1,0.01,0.01,2
LPC31,Long Point,Control,one,2016,20,426,0.94,7,26,99,85.05,0.89,0.23,0.21,3
LPC32,Long Point,Control,one,2016,19,460,0.63,3,39,137,85.1,1,0,,1
LPC33,Long Point,Control,one,2016,18,367,1.06,6,17,31,85.15,0.52,0.79,0.72,3
LPC34,Long Point,Control,one,2016,38,319,2.6,19,58,70,90.15,1,0.02,0.01,4
LPC35,Long Point,Control,one,2016,28,422,0.64,5,39,136,85.1,1,0,0.01,2
LPC36,Long Point,Control,one,2016,24,369,1.1,7,50,108,85.05,1,0,,1
LPC37,Long Point,Control,one,2016,18,432,1.2,23,32,67,80.2,1,0,,1
LPC38,Long Point,Control,one,2016,34,462,0.9,17,31,137,80.1,1,0,,1
LPC39,Long Point,Control,one,2016,13,356,6.94,22,42,155,80.1,0.89,0.24,0.15,5
LPC40,Long Point,Control,one,2016,28,378,7.06,14,50,101,80.1,1,0.01,0.01,2
RPC02,Rondeau,Control,one,2016,42,290,1.2,13,68,171,90.15,1,0.01,0.01,4
RPC03,Rondeau,Control,one,2016,32,392,2.84,3,15,56,85,0.54,0.8,0.73,3
RPC04,Rondeau,Control,one,2016,13,322,2.07,0,13,50,80.1,0.5,0.7,0.51,4
RPC05,Rondeau,Control,one,2016,20,395,1.58,0,25,84,85.05,0.89,0.23,0.21,3
RPC06,Rondeau,Control,one,2016,32,272,15.25,21,58,110,90.1,0.8,0.36,0.26,4
RPC07,Rondeau,Control,one,2016,25,237,5.86,0,44,84,85.15,0.69,0.67,0.35,7
RPC08,Rondeau,Control,one,2016,20,279,4.37,0,26,79,85.3,0.47,0.87,0.4,9
RPC09,Rondeau,Control,one,2016,32,308,4.31,11,39,149,90.15,0.63,0.67,0.37,6
RPC10,Rondeau,Control,one,2016,24,279,5.05,5,37,110,90.25,0.61,0.86,0.37,10
RPC11,Rondeau,Control,one,2016,23,288,16.98,0,40,126,90.25,0.62,0.78,0.36,9
RPC12,Rondeau,Control,one,2016,21,283,12,18,46,158,90.2,0.79,0.44,0.23,7
RPC13,Rondeau,Control,one,2016,34,352,2.29,18,38,151,85.1,0.89,0.23,0.17,4
RPC14,Rondeau,Control,one,2016,17,358,1.81,2,30,125,95.25,0.71,0.63,0.29,9
RPC15,Rondeau,Control,one,2016,13,390,2.99,1,28,88,90.35,0.8,0.38,0.17,9
RPC17,Rondeau,Control,one,2016,32,339,14,6,27,62,90,0.41,1,0.91,3
RPC18,Rondeau,Control,one,2016,20,381,9.87,8,44,111,95.05,0.9,0.21,0.19,3
RPC19,Rondeau,Control,one,2016,44,383,3.9,2,36,99,95,0.72,0.54,0.49,3
RPC20,Rondeau,Control,one,2016,23,364,5.45,15,34,125,90,0.8,0.43,0.39,3
RPC41,Rondeau,Control,one,2016,48,365,7.4,3,15,20,100.05,0.36,1.15,0.71,5
RPC16,Rondeau,Treatment,one,2016,41,317,1.5,10,12,26,80.2,0.3,1.58,0.66,11
LPT05,Long Point,Treatment,one,2016,31,374,2.69,1,11,77,85.05,0.32,1.36,0.7,7
